firm_name,lp_type,contact_name,title,email,phone,city,state,aum_millions,strategy_interest,last_contact_date,email_status
Duke Management Company,Endwmnt,Zainab White,Managing Director,zainab.white@dumac.duke.edu,9198549317,Durham,,12700,Hedge Fund; Real Estate,2025-11-12,Active
FORD FOUNDATION,Foundation,Deepa Zhang,Portfolio Manager,deepa.zhang@fordfoundation.org,212.959.8239,,NY,16000,Hedge Fund; Private Equity,2026-01-20,Active
Third Point LLC,Family Office,Arjun Brown,Chief Investment Officer,arjun.brown@thirdpoint.com,2123341243,New York,NY,14500,Private Credit; Venture Capital,2026-03-16,Active
NEW YORK LIFE INVESTMENTS,Insurance Company,Rebecca Gupta,Chief Investment Officer,rebecca.gupta@newyorklife.com,212-772-7171,New York,NEW YORK,360000,Private Equity; Real Estate,2025-04-28,Active
New York City Retirement Systems,Public Pension,Michael Thomas,Chief Investment Officer,michael.thomas@comptroller.nyc.gov,212-501-4630,New York,NY,263000,Private Equity; Real Estate,2026-02-07,Active
Yale Investments Office,Endowment,Jamal Mensah,Senior Investment Analyst,jamal.mensah@investments.yale.edu,2039212139,New Haven,CT,41400,Hedge Fund,2026-04-08,Active
Callan Associates,Consultant,Carlos Delacroix,Chief Investment Officer,carlos.delacroix@callan.com,415-810-2391,San Francisco,CA,470000,Hedge Fund; Private Credit; Real Estate,2025-11-02,Active
MacArthur Foundation,Foundation,Grace Kumar,Senior Portfolio Strategist,grace.kumar@macfound.org,(312) 516-7691,Chicago,IL,7400,Private Credit; Real Estate,2026-01-23,Active
Stanford Management Company,Endowment,Sanjay Mensah,Chief Investment Officer,sanjay.mensah@smc.stanford.edu,650-366-7065,Stanford,CA,36300,Hedge Fund; Real Estate,2025-11-11,Unsubscribed
Elliot Management,Family Office,Daniel Moore,Chief Investment Officer,daniel.moore@elliottmgmt.com,(212) 687-8344,New York,NY,65500,Hedge Fund; Private Credit; Venture Capital,2026-01-24,Active
Appaloosa Management,Family Office,Arjun O'Brien,Managing Director,arjun.o'brien@appaloosa.com,973-208-1803,Short Hills,NJ,14000,Hedge Fund; Real Estate; Venture Capital,2026-04-06,Unknown
Washington State Investment Board,Public Pension,deepa hall,Director of External Managers,deepa.hall@sib.wa.gov,3603179922,Olympia,,180000,Hedge Fund; Private Equity,2026-03-10,Bounced
Meketa Investment Group,Consultant,Yuki Moore,Portfolio Manager,yuki.moore@meketa.com,(781) 958-1502,Westwood,MA,,Private Credit,2026-02-19,Active
Stanford Management Company,Endowment,Sanjay Al-Rashid,Managing Director,sanjay.al-rashid@smc.stanford.edu,6508554598,Stanford,CA,36300,Hedge Fund; Private Equity; Venture Capital,2026-03-22,Bounced
State of New Jersey Division of Investment,Public Pension,Rafael Lewis,Managing Director,rafael.lewis@nj.gov,6092149751,Trenton,,94000,Hedge Fund,2026-03-12,Unknown
Harvard Mgmt Company,Endowment,DeShawn Wang,Chief Investment Officer,deshawn.wang@hmc.harvard.edu,6174283286,Boston,MA,50900,Hedge Fund; Real Estate; Venture Capital,2026-01-15,Active
North Carolina Retirement Systems,Pub Pension,Rachel Nakamura,Director of External Managers,rachel.nakamura@myncretirement.com,919.910.9117,Raleigh,NC,118000,Real Estate; Venture Capital,2025-11-21,Active
Nepc,Consultant,Amanda Sharma,Chief Investment Officer,amanda.sharma@nepc.com,617.814.6119,Boston,MA,1400000,Hedge Fund; Private Credit,2025-12-21,Active
Emory Investment Management,Endowment,Arjun Ibrahim,Chief Investment Officer,arjun.ibrahim@emoryinvestments.emory.edu,4046489479,Atlanta,GA,11200,Hedge Fund; Private Equity,2026-02-07,Active
Fund Evaluation Group,CONSULTANT,William Kim,Director of External Managers,william.kim@feg.com,513.787.7626,Cincinnati,OH,82000,Hedge Fund; Private Equity; Real Estate,2025-10-22,Active
Vulcan Capital,Family Office,Thomas Jackson,Head of Hedge Fund Allocations,thomas.jackson@vulcan.com,,Seattle,WA,9000,Hedge Fund; Private Equity; Venture Capital,2026-03-31,Active
Appaloosa Management,Family Office,Terrence Tran,Chief Investment Officer,terrence.tran@appaloosa.com,973.509.4263,Short Hills,new jersey,14000,Hedge Fund; Private Equity; Venture Capital,2026-03-12,Unknown
Teacher Retirement System of Texas,Public Pension,Benjamin Petrov,Chief Investment Officer,benjamin.petrov@trs.texas.gov,5124582341,Austin,texas,198000,Hedge Fund; Real Estate,2025-08-24,Unknown
Cascade Investment,FAMILY OFFICE,Diego Wright,Director of External Managers,diego.wright@cascadeinv.com,425-244-6213,Kirkland,WA,60000,Private Equity; Real Estate; Venture Capital,2025-10-27,Active
MacArthur Foundation,Foundation,Katarina Hall,Chief Investment Officer,katarina.hall@macfound.org,312-572-8066,Chicago,ILLINOIS,7400,Real Estate,2026-03-09,Unknown
Cambridge Assoc.,Consultant,Jennifer Wilson,Chief Investment Officer,jennifer.wilson@cambridgeassociates.com,617-690-7580,Boston,,500000,Hedge Fund; Real Estate,2026-01-08,Active
University of Virginia Investment Management Company,Endowment,carmen blackwood,Managing Director,carmen.blackwood@uvimco.virginia.edu,(434) 879-2697,Charlottesville,VA,14300,Hedge Fund; Private Credit; Private Equity,2025-12-06,Active
Pershing Square Capital,Family Office,Nicole Young,Chief Investment Officer,nicole.young@pershingsquareholdings.com,212.438.6383,New York,NY,18500,Private Credit; Private Equity; Venture Capital,2025-09-17,Active
Elliott Management,Family Office,Daniel Moore,Chief Investment Officer,daniel.moore@elliottmgmt.com,2126878344,New York,NY,65500,Hedge Fund; Private Credit; Venture Capital,2026-01-24,Active
Illinois Municipal Retirement Fund,Public Pension,RAJ PARK,Managing Director,raj.park@imrf.org,630.226.2496,Oak Brook,IL,53000,Private Credit; Real Estate,2026-01-22,Active
Rockefeller Foundation,Foundation,Siobhan Blackwood,Chief Investment Officer,siobhan.blackwood@rockefellerfoundation.org,212-351-8041,,NY,6100,Private Equity,2025-10-10,Active
University of Pennsylvania Endowment,Endowment,Rachel Sullivan,Head of Hedge Fund Allocations,rachel.sullivan@upenn.edu,(215) 692-4502,Philadelphia,Pennsylvania,20500,Hedge Fund; Private Equity; Venture Capital,2025-06-26,Active
Viking Global Investors,Family Office,Rafael Jackson,Chief Investment Officer,rafael.jackson@vikingglobal.com,203-902-7018,Greenwich,CT,39000,Private Equity; Venture Capital,2026-03-25,Active
Fund Evaluation Group,Consultant,Diego Katz,Chief Investment Officer,diego.katz@feg.com,513.920.4770,,OHIO,82000,Hedge Fund; Real Estate,2025-10-10,
Illinois Municipal Retirement Fund,Public Pension,aaliyah ramirez,Chief Investment Officer,aaliyah.ramirez@imrf.org,630.327.8679,Oak Brook,IL,53000,Private Credit; Real Estate; Venture Capital,2026-01-08,Bounced
Hartford Investment Management,Insurance Company,Amanda Kowalski,VP of Institutional Investments,test,860-767-2680,Hartford,,120000,Private Credit; Private Equity; Real Estate,2026-03-21,Active
PRUDENTIAL FINANCIAL,Insurance Company,Thomas Tanaka,Chief Investment Officer,thomas.tanaka@prudential.com,9739312381,Newark,NJ,1400000,Private Credit; Private Equity,2025-11-13,Bounced
RVK Inc,Consultant,Sofia Watanabe,Chief Investment Officer,sofia.watanabe@rvkinc.com,5039443419,Portland,OR,265000,Hedge Fund; Private Credit,2025-05-06,Active
TEST,,Test User,,test@test.com,000-000-0000,,,,,,
Bezos Expeditions,Family Office,Margaret Moore,Managing Director,margaret.moore@bezosexpeditions.com,206.991.7798,Seattle,WA,120000,Private Equity; Venture Capital,2026-03-11,Bounced
Oregon Investment Council,Public Pension,AMANDA JACKSON,Senior Investment Analyst,amanda.jackson@oregon.gov,5038404457,Tigard,OR,100000,Hedge Fund; Private Equity,2025-12-29,Active
Cambridge Associates,Consultant,Jennifer Wilson,Chief Investment Officer,jennifer.wilson@cambridgeassociates.com,617.690.7580,Boston,MA,,Hedge Fund; Real Estate,2026-01-08,Active
Aflac Global Investments,Insurance Company,SAMUEL NGUYEN,Senior Investment Analyst,samuel.nguyen@aflac.com,(614) 746-4918,Columbus,Georgia,155000,Private Credit; Real Estate,2025-07-18,Unknown
Kresge Foundation,Foundation,Sakura Nakamura,Chief Investment Officer,sakura.nakamura@kresge.org,248-295-4848,,,4100,Hedge Fund; Private Credit; Private Equity,2025-10-02,Active
DO NOT USE,test,Fake Person,Intern,fake@fake.fake,999.999.9999,Faketown,ZZ,1,Crypto,2020-01-01,Bounced
,,,,,,,,,,,
Princeton University Investment Company,Endwmnt,Ananya Takahashi,Director of External Managers,ananya.takahashi@princo.princeton.edu,6095704593,Princeton,NJ,35800,Hedge Fund; Private Credit; Real Estate,2025-09-11,Unknown
ICAHN ENTERPRISES,Family Office,Amir Jones,Chief Investment Officer,amir.jones@ielp.com,(212) 793-6977,New York,NY,17000,Hedge Fund; Private Equity; Venture Capital,,Active
New York State Common Retirement Fund,Public Pension,Oluwaseun Brown,Chief Investment Officer,oluwaseun.brown@osc.ny.gov,518.598.6507,Albany,NY,268000,Private Credit; Real Estate; Venture Capital,2025-05-22,Bounced
TIAA,Insurance Company,Aoife Robinson,Chief Investment Officer,aoife.robinson@tiaa.org,(212) 541-2335,New York,NY,1200000,Private Credit; Private Equity,2025-04-25,Unknown
Prudential Financial,Insurance Company,THOMAS TANAKA,Chief Investment Officer,thomas.tanaka@prudential.com,9739312381,Newark,NJ,,Private Credit; Private Equity,2025-11-13,Bounced
Emerson Collective,Family Office,Maria Blackwood,Director of Alternative Investments,maria.blackwood@emersoncollective.com,650-765-7684,Palo Alto,CA,3500,Venture Capital,2025-06-24,Active
Ford Fdn,Foundation,Zainab Hoffman,Chief Investment Officer,zainab.hoffman@fordfoundation.org,212-457-1832,New York,NY,16000,Private Equity,2026-04-18,Active
hewlett foundation,Foundation,Amara Ramirez,Head of Hedge Fund Allocations,amara.ramirez@hewlett.org,6508914501,Menlo Park,CA,13200,Real Estate; Venture Capital,2025-05-05,Active
CALSTRS,Pub Pension,Hiroshi Nakamura,Chief Investment Officer,hiroshi.nakamura@calstrs.com,(916) 755-8633,West Sacramento,CA,318000,Private Equity; Real Estate,2025-10-21,Active
cal pers,Public Pension,Ananya Blackwood,Chief Investment Officer,ananya.blackwood@calpers.ca.gov,9166563607,Sacramento,CA,442000,Private Credit; Private Equity; Real Estate,2025-10-30,Active
New York City Retirement Systems,Public Pension,Samuel Blackwood,VP of Institutional Investments,samuel.blackwood@comptroller.nyc.gov,212.560.8434,New York,NY,263000,Hedge Fund; Private Equity,2026-04-03,Unsubscribed
Rockefeller Foundation,Foundation,Marcus White,VP of Institutional Investments,marcus.white@rockefellerfoundation.org,2129987658,New York,NY,6100,,2026-03-27,Active
Allstate Investments,Insurance Company,Priya Miller,,john@.com,8476059224,,Illinois,,Hedge Fund; Private Credit,2026-03-09,Active
howard hughes medical institute,Foundation,Yuki Katz,Chief Investment Officer,yuki.katz@hhmi.org,301.539.1452,Chevy Chase,maryland,23600,Venture Capital,2026-03-16,Active
Harvard Management Company,Endowment,DeShawn Wang,Chief Investment Officer,deshawn.wang@hmc.harvard.edu,617-428-3286,Boston,MA,50900,Hedge Fund; Real Estate; Venture Capital,2026-01-15,Active
Bill & Melinda Gates Foundation,Foundation,Ana Sullivan,Chief Investment Officer,ana.sullivan@gatesfoundation.org,2068855065,Seattle,WA,67000,Hedge Fund; Real Estate,2025-06-22,Active
Mercer Investments,Consultant,Elizabeth Blackwood,Senior Investment Analyst,elizabeth.blackwood@mercer.com,(212) 640-8398,New York,NY,380000,Private Equity; Real Estate; Venture Capital,2025-11-19,Active
VIRGINIA RETIREMENT SYSTEM,Public Pension,Olivia Hoffman,Chief Investment Officer,olivia.hoffman@varetire.org,,Richmond,VA,102000,Private Credit; Private Equity,2026-02-16,Active
Columbia Investment Management Company,Endowment,Kavita Jackson,Chief Investment Officer,kavita.jackson@columbia.edu,212.262.7596,New York,NY,13300,Hedge Fund; Private Credit; Venture Capital,2026-03-26,Active
Principal Global Investors,Insurance Company,Terrence Young,Chief Investment Officer,terrence.young@principalglobal.com,515-353-9991,Des Moines,IA,540000,Private Credit; Private Equity; Real Estate,2026-03-19,Active
university of texas investment management company,Endowment,William Katz,Portfolio Manager,william.katz@utimco.utexas.edu,512-331-8787,Austin,TX,70500,Hedge Fund; Private Credit; Venture Capital,2025-04-27,Active
Tiger Global Mgmt,Family Office,BENJAMIN KING,Chief Investment Officer,benjamin.king@tigerglobal.com,212-892-7511,New York,NY,35000,Hedge Fund; Private Equity; Venture Capital,2025-11-21,Active
CAMBRIDGE ASSOCIATES,Consultant,Jennifer Wilson,Chief Investment Officer,jennifer.wilson@cambridgeassociates.com,617-690-7580,Boston,massachusetts,500000,Hedge Fund; Real Estate,2026-01-08,Active
University of Texas Investment Management Company,ENDOWMENT,daniel mensah,Chief Investment Officer,daniel.mensah@utimco.utexas.edu,(512) 514-4923,Austin,TX,70500,Venture Capital,2025-09-29,Unsubscribed
Simons Foundation,foundation,JONATHAN ROSENBERG,Head of Hedge Fund Allocations,jonathan.rosenberg@simonsfoundation.org,2122515082,New York,new york,5200,Hedge Fund; Private Credit; Private Equity,2025-06-29,Bounced
Washington State Investment Board,Pub Pension,Fatima Singh,Chief Investment Officer,fatima.singh@sib.wa.gov,,Olympia,WA,180000,Private Equity; Real Estate,2026-03-20,Active
Pennsylvania Public School Employees Retirement System,Public Pension,Sanjay Delacroix,Chief Investment Officer,sanjay.delacroix@psers.pa.gov,717-824-7209,Harrisburg,PA,73000,Private Credit; Private Equity,2025-12-04,Active
NEPC,Consultant,Nikolai Ibrahim,Head of Private Markets,nikolai.ibrahim@nepc.com,6179805564,Boston,MA,1400000,Real Estate; Venture Capital,2025-05-16,Unknown
State of Wisconsin Investment Board,Public Pension,Deepa Wang,Chief Investment Officer,deepa.wang@swib.state.wi.us,608.304.5941,Madison,WI,150000,Hedge Fund; Private Credit; Venture Capital,2025-07-24,Active
MSD Partners,FAMILY OFFICE,Laura Taylor,Head of Hedge Fund Allocations,laura.taylor@msdpartners.com,212.471.6546,New York,NY,18000,Hedge Fund; Private Equity,2026-01-22,Active
Cascade Investment,Family Office,Laura Nguyen,Chief Investment Officer,,4257518935,,WA,60000,Private Credit; Private Equity,2026-03-25,Unknown
REMOVE,N/A,Nobody,N/A,no@no.no,111-111-1111,Nowhere,XX,0,,,Unknown
University of Notre Dame Investment Office,Endowment,Amara Kim,Chief Investment Officer,amara.kim@notredame.edu,574-969-2188,Notre Dame,IN,20200,Real Estate,2026-01-06,Active
Viking Global Investors,Family Office,Amara Thomas,Senior Investment Analyst,amara.thomas@vikingglobal.com,(203) 857-1349,Greenwich,,39000,Private Equity,2025-05-29,Active
asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,,,,
Soros Fund Mgmt,Family office,Nathan Murphy,Chief Investment Officer,nathan.murphy@sorosfund.com,212.726.1018,New York,NY,25000,Hedge Fund; Private Credit; Private Equity,2026-02-14,Unknown
Hewlett Foundation,Foundation,Sakura Delacroix,Chief Investment Officer,sakura.delacroix@hewlett.org,6505087653,Menlo Park,CA,13200,Hedge Fund; Private Equity,2025-11-05,
Metlife Investment Mgmt,insurance co.,kenji kumar,Chief Investment Officer,kenji.kumar@metlife.com,973.481.1920,Whippany,NJ,585000,,2026-03-02,Active
CalPERS,Public Pension,William Sharma,Senior Investment Analyst,william.sharma@calpers.ca.gov,9164786502,Sacramento,CA,442000,Hedge Fund; Private Credit,2026-01-20,Active
Lone Pine Capital,Family Office,Sanjay Ibrahim,Senior Portfolio Strategist,sanjay.ibrahim@lonepinecapital.com,203.629.3531,Greenwich,Connecticut,26000,Private Equity; Real Estate; Venture Capital,2025-12-22,Active
Harvard Management Company,Endowment,Ibrahim Brown,Senior Portfolio Strategist,ibrahim.brown@hmc.harvard.edu,617.403.9928,Boston,MA,50900,Private Equity; Venture Capital,2025-09-10,
Vanderbilt University Endowment,Endowment,Sakura Anderson,Chief Investment Officer,sakura.anderson@vanderbilt.edu,615.629.9565,Nashville,TN,10900,Private Equity; Real Estate,2026-03-16,Active
Tiger Global Management,Family Office,Benjamin King,Chief Investment Officer,benjamin.king@tigerglobal.com,(212) 892-7511,New York,NY,35000,Hedge Fund; Private Equity; Venture Capital,2025-11-21,Active
Andrew W. Mellon Foundation,Foundation,Sofia Gupta,Chief Investment Officer,sofia.gupta@mellon.org,212.433.4652,New York,NY,8300,Private Equity,2026-04-10,Unsubscribed
Vulcan Capital,Family office,Dmitri Hoffman,Chief Investment Officer,dmitri.hoffman@vulcan.com,2067541588,Seattle,Washington,9000,Hedge Fund; Real Estate,2026-03-20,Unsubscribed
State of New Jersey Division of Investment,Public Pension,Stephanie Walker,Chief Investment Officer,stephanie.walker@nj.gov,(609) 421-8933,Trenton,NJ,94000,Private Credit; Real Estate,2026-01-06,Active
Lone Pine Capital,Family Office,William Moreau,Chief Investment Officer,william.moreau@lonepinecapital.com,2039175951,Greenwich,CT,26000,Hedge Fund; Venture Capital,2026-03-19,
Northwestern University Investment Office,Endowment,Ingrid Hoffman,Chief Investment Officer,ingrid.hoffman@northwestern.edu,(847) 358-4111,Evanston,IL,14200,Private Credit; Venture Capital,2025-12-09,Active
CalPERS,Public Pension,ANANYA BLACKWOOD,Chief Investment Officer,john@,916-656-3607,Sacramento,CA,442000,Private Credit; Private Equity; Real Estate,2025-10-30,Active
Ford Foundation,Foundation,Deepa Zhang,Portfolio Manager,deepa.zhang@fordfoundation.org,(212) 959-8239,New York,NY,16000,Hedge Fund; Private Equity,2026-01-20,Active
Teacher Retirement System of Texas,Public Pension,Vikram Davis,Director of Alternative Investments,vikram.davis@trs.texas.gov,(512) 453-4266,Austin,TX,198000,Hedge Fund; Private Credit; Private Equity,2025-06-23,Unknown
North Carolina Retirement Systems,Public Pension,Stephanie Bianchi,Chief Investment Officer,stephanie.bianchi@myncretirement.com,(919) 731-8245,Raleigh,NC,118000,Hedge Fund; Private Credit; Private Equity,2026-03-07,Active
MassMutual,Insurance Company,Jamal Johansson,Chief Investment Officer,jamal.johansson@massmutual.com,413.618.6543,Springfield,,305000,Hedge Fund; Private Credit; Private Equity,2025-11-30,Active
Allstate Investments,INSURANCE COMPANY,Kavita Nakamura,Portfolio Manager,kavita.nakamura@allstate.com,8473401627,,IL,95000,Private Equity; Real Estate,2025-06-28,Bounced
Bloomberg Philanthropies,Foundation,Yusuf Kim,Chief Investment Officer,yusuf.kim@bloomberg.org,2126469379,New York,NEW YORK,11500,Venture Capital,2026-04-13,Unsubscribed
Prudential Fin.,Insurance Company,Thomas Tanaka,Chief Investment Officer,thomas.tanaka@prudential.com,9739312381,Newark,NJ,1400000,Private Credit; Private Equity,2025-11-13,Bounced
Cal STRS,pension,Olivia Beaumont,Director of External Managers,olivia.beaumont@calstrs.com,(916) 688-1096,West Sacramento,california,318000,Private Credit; Private Equity; Real Estate,2025-05-19,Active
MetLife Investment Management,Insurance Company,Kenji Kumar,Chief Investment Officer,kenji.kumar@metlife.com,973.481.1920,Whippany,New Jersey,585000,Hedge Fund; Private Credit,2026-03-02,Active
Emerson Collective,Family Office,DeShawn Blackwood,,deshawn.blackwood@emersoncollective.com,650.334.5719,Palo Alto,CA,3500,Hedge Fund; Real Estate,2025-05-18,
druckenmiller family office,Family Office,Kenji Li,,kenji.li@duquesne.com,(212) 461-1153,New York,NY,12000,Hedge Fund; Private Credit; Private Equity,2025-05-23,Active
Ford Foundation,Foundation,Zainab Hoffman,,zainab.hoffman@fordfoundation.org,212-457-1832,New York,NY,16000,,2026-04-18,Active
DELETE ME,,,,,,,,,,,
yale investments office,Endowment,Brian Tanaka,Chief Investment Officer,brian.tanaka@investments.yale.edu,2033042519,New Haven,CT,41400,Hedge Fund; Private Equity,2026-01-03,Active
METLIFE INVESTMENT MANAGEMENT,Insurance Company,Richard Muller,Director of External Managers,richard.muller@metlife.com,(973) 673-1672,Whippany,NJ,585000,Private Credit; Real Estate,2026-02-17,Active
Bezos Expeditions,Family Office,Dmitri Singh,Chief Investment Officer,dmitri.singh@bezosexpeditions.com,2067215479,Seattle,WA,120000,Private Credit; Private Equity,2026-03-25,Bounced
New York State Common Retirement Fund,Public Pension,Rebecca Fernandez,Portfolio Manager,rebecca.fernandez@osc.ny.gov,518.672.3977,Albany,NY,268000,Private Equity,2026-03-08,Active
Hartford Investment Management,Insurance Company,Amara Sharma,Chief Investment Officer,amara.sharma@hartfordfunds.com,,Hartford,CT,120000,Private Credit; Private Equity,2026-01-31,Active
Mercer Investments,Consultant,DeShawn Takahashi,Chief Investment Officer,deshawn.takahashi@mercer.com,212-761-6327,New York,NY,380000,Private Credit; Private Equity,2025-11-24,Active
SOROS FUND MANAGEMENT,Family Office,Nathan Murphy,Chief Investment Officer,nathan.murphy@sorosfund.com,2127261018,New York,,25000,Hedge Fund; Private Credit; Private Equity,2026-02-14,Unknown
CalSTRS,Public pension,Olivia Beaumont,Director of External Managers,olivia.beaumont@calstrs.com,916.688.1096,West Sacramento,CA,318000,Private Credit; Private Equity; Real Estate,2025-05-19,Active
Meketa Investment Group,Consultant,Arjun Liu,Chief Investment Officer,arjun.liu@meketa.com,7812293955,Westwood,MA,1700000,Real Estate; Venture Capital,2026-03-26,Active
CalSTRS,Public Pension,Hiroshi Nakamura,Chief Investment Officer,hiroshi.nakamura@calstrs.com,916.755.8633,West Sacramento,CA,318000,Private Equity; Real Estate,2025-10-21,Active
Duke Management Company,Endowment,Katarina Liu,Chief Investment Officer,katarina.liu@dumac.duke.edu,919-987-6573,Durham,NC,12700,Private Equity,2025-12-16,Active
Harvard Management Co.,Endowment,DeShawn Wang,Chief Investment Officer,deshawn.wang@hmc.harvard.edu,(617) 428-3286,Boston,MA,50900,Hedge Fund; Real Estate; Venture Capital,2026-01-15,Active
